id,name,state,label,population,lat,lng
5128581,"New York City","NY","New York City, NY",8175133,40.71427,-74.00597
5368361,"Los Angeles","CA","Los Angeles, CA",3971883,34.05223,-118.24368
4887398,"Chicago","IL","Chicago, IL",2720546,41.85003,-87.65005
5110302,"Brooklyn","NY","Brooklyn, NY",2300664,40.6501,-73.94958
4699066,"Houston","TX","Houston, TX",2296224,29.76328,-95.36327
5133273,"Queens","NY","Queens, NY",2272771,40.68149,-73.83652
4560349,"Philadelphia","PA","Philadelphia, PA",1567442,39.95233,-75.16379
5308655,"Phoenix","AZ","Phoenix, AZ",1563025,33.44838,-112.07404
5125771,"Manhattan","NY","Manhattan, NY",1487536,40.78343,-73.96625
4726206,"San Antonio","TX","San Antonio, TX",1469845,29.42412,-98.49363
5391811,"San Diego","CA","San Diego, CA",1394928,32.71571,-117.16472
5110266,"The Bronx","NY","The Bronx, NY",1385108,40.84985,-73.86641
4684888,"Dallas","TX","Dallas, TX",1300092,32.78306,-96.80667
5392171,"San Jose","CA","San Jose, CA",1026908,37.33939,-121.89496
4671654,"Austin","TX","Austin, TX",931830,30.26715,-97.74306
4160021,"Jacksonville","FL","Jacksonville, FL",868031,30.33218,-81.65565
5391959,"San Francisco","CA","San Francisco, CA",864816,37.77493,-122.41942
4509177,"Columbus","OH","Columbus, OH",850106,39.96118,-82.99879
4691930,"Fort Worth","TX","Fort Worth, TX",833319,32.72541,-97.32085
4259418,"Indianapolis","IN","Indianapolis, IN",829718,39.76838,-86.15804
4460243,"Charlotte","NC","Charlotte, NC",827097,35.22709,-80.84313
5809844,"Seattle","WA","Seattle, WA",684451,47.60621,-122.33207
5419384,"Denver","CO","Denver, CO",682545,39.73915,-104.9847
5520993,"El Paso","TX","El Paso, TX",681124,31.75872,-106.48693
4990729,"Detroit","MI","Detroit, MI",677116,42.33143,-83.04575
4930956,"Boston","MA","Boston, MA",667137,42.35843,-71.05977
4641239,"Memphis","TN","Memphis, TN",655770,35.14953,-90.04898
5746545,"Portland","OR","Portland, OR",632309,45.52345,-122.67621
4544349,"Oklahoma City","OK","Oklahoma City, OK",631346,35.46756,-97.51643
5506956,"Las Vegas","NV","Las Vegas, NV",623747,36.17497,-115.13722
4347778,"Baltimore","MD","Baltimore, MD",621849,39.29038,-76.61219
4140963,"Washington, D.C.","DC","Washington, D.C., DC",601723,38.89511,-77.03637
5263045,"Milwaukee","WI","Milwaukee, WI",600155,43.0389,-87.90647
5454711,"Albuquerque","NM","Albuquerque, NM",559121,35.08449,-106.65114
5318313,"Tucson","AZ","Tucson, AZ",531641,32.22174,-110.92648
4644585,"Nashville","TN","Nashville, TN",530852,36.16589,-86.78444
5350937,"Fresno","CA","Fresno, CA",520052,36.74773,-119.77237
5389489,"Sacramento","CA","Sacramento, CA",490712,38.58157,-121.4944
4393217,"Kansas City","MO","Kansas City, MO",475378,39.09973,-94.57857
5367929,"Long Beach","CA","Long Beach, CA",474140,33.76696,-118.18923
5304391,"Mesa","AZ","Mesa, AZ",471825,33.42227,-111.82264
5139568,"Staten Island","NY","Staten Island, NY",468730,40.56233,-74.13986
4180439,"Atlanta","GA","Atlanta, GA",463878,33.749,-84.38798
5417598,"Colorado Springs","CO","Colorado Springs, CO",456568,38.83388,-104.82136
4791259,"Virginia Beach","VA","Virginia Beach, VA",452745,36.85293,-75.97799
4487042,"Raleigh","NC","Raleigh, NC",451066,35.7721,-78.63861
5074472,"Omaha","NE","Omaha, NE",443885,41.25626,-95.94043
4164138,"Miami","FL","Miami, FL",441003,25.77427,-80.19366
5378538,"Oakland","CA","Oakland, CA",419267,37.80437,-122.2708
5037649,"Minneapolis","MN","Minneapolis, MN",410939,44.97997,-93.26384
4553433,"Tulsa","OK","Tulsa, OK",403505,36.15398,-95.99277
